;0001;ACEITE 3 EN 1 ;8;;812;2500;2500;0;0;1688;208;1;;1;12/04/2021 0:00;12/04/2021 0:00;1
;0002;ACEITE DE ARGAN -COCO-ALMENDRAS- AGUACATE ;4;;2500;4800;4800;0;0;2300;92;1;;1;12/04/2021 0:00;13/04/2021 0:00;1
;0003;ACEITE JOHNSON;4;;3800;4400;4400;0;0;600;16;1;;1;12/04/2021 0:00;14/04/2021 0:00;1
;0004;ACERO - ARETE CADENA Y MANILLA DE NIÑA;6;;6000;14000;14000;0;0;8000;133;1;;1;12/04/2021 0:00;15/04/2021 0:00;1
;0005;ACERO - ARETES HD LISOS ;6;;3000;5000;5000;0;0;2000;67;1;;1;12/04/2021 0:00;16/04/2021 0:00;1
;0006;ACERO - ARETES LARGOS;6;;3500;8000;8000;0;0;4500;129;1;;1;12/04/2021 0:00;17/04/2021 0:00;1
;0007;ACERO - ARETES PIEDRITA;6;;3500;7000;7000;0;0;3500;100;1;;1;12/04/2021 0:00;18/04/2021 0:00;1
;0008;ACERO - CADENAS CON DIGEN;6;;7500;14000;14000;0;0;6500;87;1;;1;12/04/2021 0:00;19/04/2021 0:00;1
;0009;ACERO - CANDONGAS CARACOL;6;;5600;11000;11000;0;0;5400;96;1;;1;12/04/2021 0:00;20/04/2021 0:00;1
;0010;ACERO - COLLAR Y ARETES;6;;3500;8000;8000;0;0;4500;129;1;;1;12/04/2021 0:00;21/04/2021 0:00;1
;0011;ACERO - PULCERAS BALIN;6;;3500;8000;8000;0;0;4500;129;1;;1;12/04/2021 0:00;22/04/2021 0:00;1
;0012;ACERO - TOBILLERAS ;6;;3500;7000;7000;0;0;3500;100;1;;1;12/04/2021 0:00;23/04/2021 0:00;1
;0013;ACONDICIONADOR KONZIL SOBRE;4;;582;1000;1000;0;0;418;72;1;;1;12/04/2021 0:00;24/04/2021 0:00;1
;0014;ACONDICIONADOR SAVITAL SOBRE;4;;582;1000;1000;0;0;418;72;1;;1;12/04/2021 0:00;25/04/2021 0:00;1
;0015;AGENDA 5 MATERIAS ARGOLLADAS CUADROS NIÑA;1;;5230;11000;11000;0;0;5770;110;1;;1;12/04/2021 0:00;26/04/2021 0:00;1
;0016;AGENDA 5 MATERIAS ARGOLLADAS CUDROS NIÑO;1;;5230;11000;11000;0;0;5770;110;1;;1;12/04/2021 0:00;27/04/2021 0:00;1
;0017;AGENDA 5 MATERIAS ARGOLLADAS RAYAS NIÑA;1;;5230;11000;11000;0;0;5770;110;1;;1;12/04/2021 0:00;28/04/2021 0:00;1
;0018;AGENDA 5 MATERIAS ARGOLLADAS RAYAS NIÑO;1;;5230;11000;11000;0;0;5770;110;1;;1;12/04/2021 0:00;29/04/2021 0:00;1
;0019;AGENDA 5 MATERIAS PRIMAVERA CUADROS CABA;1;;11200;16000;16000;0;0;4800;43;1;;1;12/04/2021 0:00;30/04/2021 0:00;1
;0020;AGENDA 5 MATERIAS PRIMAVERA CUADROS DAMA;1;;11200;16000;16000;0;0;4800;43;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0021;AGENDA CHINA;1;;2600;4500;4500;0;0;1900;73;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0022;AGENDA TELEFONICA;1;;2700;4700;4700;0;0;2000;74;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0023;AGUA DE ROSA;4;;2500;6000;6000;0;0;3500;140;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0024;AGUA OXIGENADA ;3;;2900;4500;4500;0;0;1600;55;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0025;ALCANCIA ARTESANAL;8;;2121;4500;4500;0;0;2379;112;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0026;ALCANCIA GRANDE;8;;700;1500;1500;0;0;800;114;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0027;ALCANCIA PEQUEÑA ;8;;400;1000;1000;0;0;600;150;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0028;ALCOHOL -JGB - 350ML;5;;2800;3700;3700;0;0;900;32;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0029;ALCOHOL -JGB 120ML;5;;1700;2300;2300;0;0;600;35;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0030;ALCOHOL -MK - 350 ML;5;;3200;4000;4000;0;0;800;25;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0031;ALFILER CAJA;8;;1500;2500;2500;0;0;1000;67;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0032;ALGODON GRANDE ;5;;700;1700;1700;0;0;1000;143;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0033;ALMENDRAS FRANCESAS;2;;1640;4000;4000;0;0;2360;144;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0034;ALMUADILLA MARLETO;1;;2875;5300;5300;0;0;2425;84;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0035;AMBIENTADOR PARA BAÑO FAMILIA;8;;1500;3000;3000;0;0;1500;100;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0036;ANILLO PARA TRENZAS;6;;1500;3500;3500;0;0;2000;133;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0037;ANTIFAS * PAQUETE DE 12;8;;2000;4000;4000;0;0;2000;100;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0038;ANTIFAS * UNIDAD;8;;166;500;500;0;0;334;201;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0039;ARCHIVADOR -AZ TAMAÑO CARTA;1;;3695;6300;6300;0;0;2605;71;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0040;ARETES PLASTICOS;6;;125;500;500;0;0;375;300;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0041;AUDIFONOS ;7;;4500;9500;9500;0;0;5000;111;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0042;AUDIFONOS CITRUS;7;;3000;6000;6000;0;0;3000;100;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0043;AUDIFONOS GITARRA;7;;3500;7000;7000;0;0;3500;100;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0044;AUDIFONOS SPARTAN;7;;3500;7000;7000;0;0;3500;100;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0045;AVISOS SE VENDE GRANDE ;1;;82;1000;1000;0;0;918;1120;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0046;AVISOS SE VENDE PEQUEÑO;1;;54;500;500;0;0;446;826;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0047;BALON CAUCHO;1;;1825;5000;5000;0;0;3175;174;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0048;BANDERINES DE CUMPLEAÑOS;1;;1900;3900;3900;0;0;2000;105;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0049;BIANCHI BARRA ;2;;400;800;800;0;0;400;100;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0050;BIANCHI PAQ. CARAMELO MANI AZUL;2;;1186;1600;1600;0;0;414;35;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0051;BIANCHI PAQ. CARAMELO MANI BLANCO;2;;1186;1600;1600;0;0;414;35;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0052;BIANCHI PAQ. CHOCOLATE CEREAL NARANJADO;2;;1186;1600;1600;0;0;414;35;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0053;BIANCHI PAQ. COLORES MANI;2;;1186;1600;1600;0;0;414;35;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0054;BIANCHI PAQ. CREAM AZUL CLARO;2;;1186;1600;1600;0;0;414;35;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0055;BIANCHI PAQ. CROCANTE MANI MORADO;2;;1186;1600;1600;0;0;414;35;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0056;BIANCHI PAQ. HOJUELAS ROJAS;2;;1186;1600;1600;0;0;414;35;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0057;BIANCHI PAQ. MALTEADA CHOCOLATE;2;;1186;1600;1600;0;0;414;35;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0058;BILLETERA PARA CABALLERO;8;;5000;9000;9000;0;0;4000;80;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0059;BINOCULARES;8;;2500;5000;5000;0;0;2500;100;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0060;BISTURI GRANDE METALICO;1;;1422;3200;3200;0;0;1778;125;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0061;BISTURI GRANDE PLASTICO ;1;;1350;2700;2700;0;0;1350;100;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0062;BISTURI PEQUEÑO ECONOMICO;1;;350;1000;1000;0;0;650;186;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0063;BISTURI PEQUEÑO OFFI-ESCO;1;;750;1800;1800;0;0;1050;140;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0064;BISTURI PUNTA LANZA;1;;2900;5600;5600;0;0;2700;93;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
;0065;BLOCK BLANCO CARTA DE NIÑA;1;;1636;3000;3000;0;0;1364;83;1;;1;12/04/2021 0:00;1/05/2021 0:00;1
